example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.33542 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01292 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01402 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.01221 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.0294 seconds  |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01365 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.0134 seconds  |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.0135 seconds  |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.0141 seconds  |
./spec/features/calculations_spec.rb[10:1] | passed | 0.01326 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.01275 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.01428 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.01329 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.01697 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.02399 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.01151 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.02522 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.02401 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01793 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.0121 seconds  |
./spec/features/calculations_spec.rb[21:1] | passed | 0.01188 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.01179 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.0337 seconds  |
./spec/features/calculations_spec.rb[24:1] | passed | 0.02978 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.01194 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.02528 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.02514 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.01284 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.01195 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.01468 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.01454 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.01434 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.01462 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.01468 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.03372 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.0124 seconds  |
./spec/features/calculations_spec.rb[37:1] | passed | 0.03125 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.05009 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.04749 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.03398 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.04124 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.01708 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.01597 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.01998 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.01988 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.01481 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.01464 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.0317 seconds  |
./spec/features/calculations_spec.rb[49:1] | passed | 0.01478 seconds |
